License Issue Date,License Number,Animal's Name,Species,Primary Breed,Secondary Breed,ZIP Code
December 10 2018,S125076,Hamish,Dog,"Poodle, Miniature","Retriever, Labrador",98103
November 12 2018,8002655,WERLWIND'S PSALMS (CALL NAME: BALOO),Dog,Bernese Mountain Dog,,98103
November 12 2018,900823,Copper,Dog,Australian Cattle Dog,Mix,98103
December 18 2018,8003955,Mija,Dog,Havanese,,98116
October 22 2018,S120910,Lucy,Dog,Border Collie,,98126
November 29 2018,S118046,Toby,Dog,Maltese,Shih Tzu,98136
December 07 2018,958028,Winston,Dog,"Dachshund, Standard Smooth Haired",,98115
December 20 2018,S125019,Fergus,Dog,"Schnauzer, Miniature",,98125
November 09 2018,8002593,Frankie,Dog,"Terrier, Boston",,98118
October 27 2018,S133277,Liza with a Z,Dog,Belgian Malinois,Mix,98144
December 13 2018,8003809,Wilton,Dog,"Terrier, Jack Russell",Beagle,98116
December 18 2018,8003953,Lhasa,Dog,Lhasa Apso,,98126
November 29 2018,904669,Maya,Dog,"Terrier, American Pit Bull",,98125
October 23 2018,8002161,Lupe,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",Mix,98178
May 31 2018,S144025,Chabibi,Dog,German Shepherd,Mix,98136
December 13 2018,8003800,Coco,Dog,Great Dane,,98144
November 30 2018,S137045,Nana,Dog,Shih Tzu,,98178
December 19 2018,8003989,Otis,Dog,"Retriever, Chesapeake Bay","Retriever, Labrador",98136
November 30 2018,S136379,Mochi,Dog,"Welsh Corgi, Pembroke",,98107
November 18 2018,8002897,Reina,Dog,"Chihuahua, Short Coat",Mix,98103
October 22 2018,S121295,Kiki,Dog,"Poodle, Standard","Retriever, Labrador",98105
December 01 2018,8003420,Nya,Dog,Border Collie,Mix,98102
November 29 2018,8003361,Lola,Dog,"Retriever, Golden","Poodle, Standard",98177
March 19 2018,S141622,Chicku,Dog,German Shepherd,German Shepherd,98112
December 18 2018,S117952,Maxx,Dog,"Terrier, Pit Bull",,98106
December 07 2018,957691,Oscar,Dog,Rhodesian Ridgeback,,98107
November 17 2018,8002821,Butch,Dog,Shiba Inu,,98126
November 20 2018,S152235,Mickey,Dog,Pomeranian,,98119
November 29 2018,S137019,Bodhi,Dog,Miniature Pinscher,"Cur, Black-Mouth",98199
December 11 2018,958296,Steve,Dog,"Chihuahua, Short Coat",,98144
November 17 2018,S123104,Pepper,Dog,Coton de Tulear,,98112
November 09 2018,901459,Rusty,Dog,"Retriever, Nova Scotia Duck Tolling",,98107
November 27 2018,8003296,Lucy,Dog,"Retriever, Golden","Poodle, Standard",98116
December 10 2018,S131540,Dakota,Dog,"Retriever, Labrador","Poodle, Standard",98116
December 20 2018,S108470,Maggie,Dog,"Retriever, Labrador","Poodle, Standard",98177
December 19 2018,8003996,Cas,Dog,Shepherd,,98106
November 17 2018,8002813,Juno,Dog,Rottweiler,,98117
December 10 2018,961478,Robin,Dog,"Retriever, Labrador",Australian Cattle Dog,98103
November 26 2018,8003246,Molly,Dog,Lhasa Apso,Mix,98107
October 26 2018,S121065,Harry,Dog,"Retriever, Labrador",Mix,98107
November 24 2018,8003159,Lucy,Dog,Terrier,"Australian Shepherd, Miniature",98119
October 24 2018,80061,Desmo,Dog,Rhodesian Ridgeback,,98199
November 03 2018,S136945,Snacks,Dog,Boxer,"Terrier, American Pit Bull",98144
November 10 2018,905491,Angel,Dog,"Terrier, West Highland White",,98115
October 27 2018,727534,Snuggles,Dog,"Bulldog, English",,98116
October 25 2018,8002208,Fukayna,Dog,Boxer,"Retriever, Golden",98118
December 23 2018,S138141,Tegan,Dog,"Retriever, Labrador",,98106
December 07 2018,8003575,Maia,Dog,German Shepherd,,98125
November 09 2018,S146549,Calhoun,Dog,"Terrier, American Pit Bull",,98126
December 18 2018,S116434,Skipper,Dog,Havanese,,98115
December 07 2018,S134026,Scout,Dog,Border Collie,"Retriever, Labrador",98119
October 20 2018,8002060,Macca,Dog,Retriever,Mix,98118
