Unique_ID,AnimalName,AnimalClass,AnimalBreed,AnimalColour,AnimalGender,AnimalDesexed,locality,OBJECTID
15616,Charli,Standard,Beagle,White &  Black & Tan,F,N,NORTHFIELD,14616
15617,Miki,Desexed,Shih Tzu,White & Brown,M,Y,MANSFIELD PARK,14617
15618,Tyson,Desexed/Microchipped,American Staffordshire Bull Terrier,Black & White,M,Y,MANSFIELD PARK,14618
15619,Minnie,Desexed/Pension/Microchipped,Chihuahua,White & Black,F,Y,ETHELTON,14619
15620,Roxy,Desexed/Pension,Kelpie,Brown & White,F,Y,ETHELTON,14620
15621,Angel (Angie),Desexed/Concession,Cocker Spaniel,Black,F,Y,OAKDEN,14621
15622,Riley,Desexed/Pension/Microchipped,Whippet,Black,M,Y,OAKDEN,14622
15623,Tia,Desexed/Pension,Chihuahua,Tan,F,Y,OAKDEN,14623
15624,Chance,Desexed/Pension/Microchipped,Maltese,White & Tan,M,Y,OAKDEN,14624
15625,Switch,Desexed/Pension/Microchipped,Maltese,Black & White,M,Y,OAKDEN,14625
15626,Merlot,Desexed/Pension/Microchipped,Kelpie,Black & Brown,F,Y,OAKDEN,14626
15627,Rosy,Desexed/Pension/Microchipped,Jack Russell Terrier,Brown & White,F,Y,OAKDEN,14627
15628,Lollipop,Desexed/Pension/Microchipped,Terrier,Black & White,M,Y,OAKDEN,14628
15629,Bear,Desexed/Microchipped,Cavoodle,Apricot,M,Y,GILLES PLAINS,14629
15630,Shadow,Desexed/Microchipped,Poodle,Gold,M,Y,GILLES PLAINS,14630
15631,Vulcan,Desexed/Microchipped,Siberian Husky,Black & White,M,Y,NORTHFIELD,14631
15632,Kav,Desexed/Microchipped,Kelpie,Black & White,M,Y,CLEARVIEW,14632
15633,Captain Pickles,Desexed/Microchipped,Maltese,White,M,Y,CLEARVIEW,14633
15634,Indi,Desexed/Microchipped,Cavalier King Charles Spaniel,Black,F,Y,SEMAPHORE,14634
15635,Smudge,Desexed/Microchipped,Jack Russell Terrier,Black & Brown & White,M,Y,SEMAPHORE,14635
15636,Fernando,Desexed/Microchipped,Labrador,Gold,M,Y,SEMAPHORE,14636
15637,George,Microchipped,Maltese,White,M,N,SEMAPHORE,14637
15638,Winston,Desexed/Microchipped,Labrador,Brown,M,Y,SEMAPHORE,14638
15639,Gus,Standard,Rottweiler,Black & Tan,M,N,SEMAPHORE,14639
15640,Goblin,Desexed/Microchipped,Golden Retriever,Gold,F,Y,SEMAPHORE,14640
