RowNumber,AnimalName,AnimalGender,AnimalBirthMonth,BreedName,Borough,ZipCode,CommunityDistrict,CensusTract2010,NTA,CityCouncilDistrict,CongressionalDistrict,StateSenatorialDistrict,LicenseIssuedDate,LicenseExpiredDate
45393,MAXIMUS,M,9/1/12 0:00,German Shepherd Dog,Manhattan,10024,107,177,MN12,6,10,30,1/2/16,2/18/17
45394,MAX,M,7/1/09 0:00,Unknown,Bronx,10461,211,248,BX49,13,14,34,1/2/16,1/25/18
45395,MAX,M,5/1/07 0:00,Unknown,Queens,11368,403,375,QN26,21,14,13,1/2/16,1/1/17
45396,BUDDY,M,10/1/15 0:00,Havanese,Queens,11378,405,601,QN30,30,6,15,1/2/16,1/2/17
45397,BRUNO,M,9/1/15 0:00,Havanese,Staten Island,10309,503,20803,SI32,51,11,24,1/2/16,1/2/17
45398,BRUNO,M,1/1/11 0:00,Labrador Retriever Crossbreed,Manhattan,10021,108,130,MN40,4,12,28,1/2/16,11/13/16
45399,DAKOTA,F,6/1/15 0:00,Terrier Crossbreed,Manhattan,10034,112,295,MN01,10,13,31,1/2/16,1/2/17
45400,DANCER,F,9/1/15 0:00,Terrier mix,Brooklyn,11229,315,564,BK44,48,9,19,1/2/16,1/2/17
45401,BROOKLYN,M,11/1/14 0:00,Pomeranian,Brooklyn,11232,307,88,BK34,38,7,17,1/2/16,2/18/17
45402,BRITTANY,F,8/1/15 0:00,German Shepherd Dog,Manhattan,10035,111,182,MN34,8,13,29,1/2/16,1/2/17
45403,LEO ,M,11/1/15 0:00,Boston Terrier,Manhattan,10010,106,66,MN20,2,12,28,1/2/16,1/2/17
45404,NED,M,10/1/08 0:00,Beagle,Staten Island,10314,501,251,SI28,50,11,24,1/2/16,2/9/17
45405,NERO,M,12/1/14 0:00,Labrador Retriever Crossbreed,Staten Island,10310,501,105,SI35,49,11,24,1/2/16,1/2/17
45406,NAME NOT PROVIDED,M,10/1/15 0:00,Miniature Schnauzer,Queens,11358,411,1099,QN46,19,6,11,1/2/16,1/2/17
45407,ZIPPY,M,10/1/15 0:00,Shih Tzu,Brooklyn,11221,303,265,BK75,36,8,25,1/2/16,1/2/17
45408,ZOLA,F,11/1/14 0:00,Labrador Retriever Crossbreed,Queens,11101,402,19,QN31,26,12,12,1/2/16,2/8/17
45409,ZORRO,M,12/1/08 0:00,Terrier mix,Manhattan,10009,103,34,MN22,2,12,27,1/2/16,1/2/17
45410,WHITNEY,F,6/1/09 0:00,"Welsh Corgi, Pembroke",Brooklyn,11213,308,339,BK61,35,9,20,1/2/16,2/7/17
45411,KONA,F,11/1/13 0:00,Labrador Retriever,Manhattan,10023,107,161,MN12,6,10,29,1/2/16,2/18/17
45412,KURO ,M,3/1/14 0:00,Siberian Husky,Manhattan,10002,103,202,MN28,2,7,26,1/2/16,1/2/17
45413,MOOKIE,M,10/1/09 0:00,Shiba Inu,Manhattan,10002,103,8,MN27,1,7,26,1/2/16,2/3/17
45414,NAME NOT PROVIDED,F,10/1/15 0:00,Shih Tzu,Queens,11377,402,169,QN31,26,14,12,1/2/16,1/2/17
45415,N/N,M,10/1/15 0:00,Shiba Inu,Brooklyn,11221,303,287,BK35,36,8,18,1/2/16,1/2/17
45416,ROCCO,M,9/1/14 0:00,Miniature Pinscher,Manhattan,10038,101,1502,MN25,1,10,26,1/2/16,1/2/18
45417,ROCKY,M,10/1/15 0:00,Yorkshire Terrier,Bronx,10462,211,22401,BX49,13,14,34,1/2/16,1/2/17
45418,ROCKY,M,1/1/05 0:00,Pug,Staten Island,10306,502,11401,SI36,50,11,24,1/2/16,12/20/16
45419,RUBY,F,1/1/15 0:00,Pit Bull Mix,Staten Island,10312,503,14604,SI54,51,11,24,1/2/16,1/2/17
45420,ROSIE,F,9/1/12 0:00,Unknown,Manhattan,10016,106,80,MN20,4,12,28,1/2/16,1/2/17
45421,UNKNOWN,M,5/1/14 0:00,Labrador Retriever Crossbreed,Brooklyn,11225,309,79801,BK60,40,9,20,1/2/16,1/2/17
45422,UNKONWN,M,9/1/15 0:00,Shih Tzu,Queens,11432,408,1265,QN38,24,6,14,1/2/16,1/2/17
45423,BARLEY ,M,9/1/07 0:00,Jack Russell Terrier,Manhattan,10010,106,66,MN20,2,12,28,1/2/16,10/28/16
45424,COFFEE ,F,2/1/11 0:00,Pit Bull Mix,Brooklyn,11238,,NULL,NULL,,,,1/2/16,11/15/20
45425,ARTHUR,M,7/1/15 0:00,French Bulldog,Queens,11360,407,99703,QN47,19,3,11,1/2/16,1/2/17
45426,BABY,F,5/1/14 0:00,Maltese,Queens,11374,406,687,QN18,29,6,15,1/2/16,3/26/17
